Year,w_wf - Other Metals Production,w_ws - Other Metals Production,w_wa - Other Metals Production,w_wf - Gold and Silver Production,w_ws - Gold and Silver Production,w_wa - Gold and Silver Production,w_wf - Fossil-Fuel Combustion,w_ws - Fossil-Fuel Combustion,w_wa - Fossil-Fuel Combustion,w_wf - Mercury Production,w_ws - Mercury Production,w_wa - Mercury Production,w_wf - Mercury Use,w_ws - Mercury Use,w_wa - Mercury Use
1510,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1520,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1530,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1540,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1550,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1560,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1570,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1580,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1590,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1600,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1610,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1620,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1630,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
1640,0.03,0.02,0.95,0.2,0.07,0.73,0.15,0.15,0.7,0.01,0.04,0.95,0.01,0.05,0.94
