Year,w_wf - Other Metals Production,w_ws - Other Metals Production,w_wa - Other Metals Production,w_wf - Gold and Silver Production,w_ws - Gold and Silver Production,w_wa - Gold and Silver Production,w_wf - Fossil-Fuel Combustion,w_ws - Fossil-Fuel Combustion,w_wa - Fossil-Fuel Combustion,w_wf - Mercury Production,w_ws - Mercury Production,w_wa - Mercury Production,w_wf - Mercury Use,w_ws - Mercury Use,w_wa - Mercury Use
1510,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1520,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1530,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1540,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1550,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1560,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1570,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1580,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1590,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1600,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1610,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1620,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1630,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1640,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1650,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1660,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1670,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1680,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1690,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1700,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1710,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1720,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1730,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1740,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1750,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1760,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1770,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1780,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1790,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1800,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1810,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1820,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1830,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1840,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1850,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1860,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1870,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1880,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1890,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1900,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1910,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1920,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1930,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1940,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1950,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1960,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1970,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1980,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
1990,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2000,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2010,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2020,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2030,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2040,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2050,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2060,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2070,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2080,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2090,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2100,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2110,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2120,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2130,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2140,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2150,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2160,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2170,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2180,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
2190,0.06,0.04,0.9,0.4,0.14,0.46,0.3,0.3,0.4,0.02,0.08,0.9,0.02,0.1,0.88
