Year,w_wf - Other Metals Production,w_ws - Other Metals Production,w_wa - Other Metals Production,w_wf - Gold and Silver Production,w_ws - Gold and Silver Production,w_wa - Gold and Silver Production,w_wf - Fossil-Fuel Combustion,w_ws - Fossil-Fuel Combustion,w_wa - Fossil-Fuel Combustion,w_wf - Mercury Production,w_ws - Mercury Production,w_wa - Mercury Production,w_wf - Mercury Use,w_ws - Mercury Use,w_wa - Mercury Use
1510,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1520,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1530,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1540,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1550,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1560,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1570,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1580,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1590,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1600,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1610,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1620,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1630,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1640,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1650,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1660,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
