Year,Americas - Air - Hg0,Europe and Former USSR - Air - Hg0,Africa and Middle East - Air - Hg0,Asia and Oceania - Air - Hg0,Americas - Air - Hg2,Europe and Former USSR - Air - Hg2,Africa and Middle East - Air - Hg2,Asia and Oceania - Air - Hg2,Americas - LW - HgT,Europe and Former USSR - LW - HgT,Africa and Middle East - LW - HgT,Asia and Oceania - LW - HgT
1510,0.01043,21.64538,1.47682,4.11297,0.0,5.25953,0.0,1.01149,0.01565,78.31441,2.21523,7.67855
1520,0.0313,24.83767,1.45924,4.40258,0.0,6.05114,0.0,1.08389,0.04695,87.93561,2.18886,8.21986
1530,1.44366,28.17079,1.44166,4.69219,0.28519,6.87798,0.0,1.15629,41.84621,98.17288,2.16249,8.76116
1540,4.86129,31.65831,1.42408,4.98179,0.9132499999999999,7.74344,0.0,1.22869,132.59408,109.08554,2.13612,9.30246
1550,7.33918,35.28133,1.4065,5.2714,1.46582,8.65124,0.0,1.3011,211.88567,120.68797,2.10974,9.84377
1560,34.93721,35.81007,1.38891,5.56101,8.29842,8.78605,0.0,1.3735,394.52167000000003,122.41151,2.08337,10.38507
1570,38.51356,36.34285,1.37133,5.85062,9.12561,8.92192,0.0,1.4459,467.14558,124.1525,2.057,10.92638
1580,42.17595,36.86605,1.35375,6.14023,9.97431,9.05888,0.0,1.5183,540.14561,125.89065,2.03063,11.46768
1590,45.82311,36.02771,1.33617,6.42984,10.84578,8.85553,0.0,1.5907,613.3842400000001,125.08596,2.00426,12.00898
1600,49.5135,33.37267,1.31859,7.42803,11.74133,8.19811,0.0,1.84025,686.96434,120.88511,1.97789,13.87888
1610,49.74098,35.5712,1.24906,8.42622,11.77962,8.75422,0.0,2.0898,682.66617,137.91784,1.8736,15.74878
1620,49.44249,38.90743,1.17954,9.42441,11.68642,9.59496,0.0,2.33935,654.91665,159.92701,1.76931,17.61868
1630,49.3519,46.75,1.11001,10.4226,11.6452,11.56253,0.0,2.5889,636.0219599999999,193.85485,1.66502,19.48858
1640,49.06856,56.2866,1.04049,11.4208,11.55579,13.95396,0.0,2.83844,608.33771,235.1922,1.56073,21.35847
1650,48.99574,60.12782,0.97096,12.41899,11.519,14.922,0.0,3.08799,589.6130499999999,251.6097,1.45644,23.22837
1660,48.14911,49.69157,0.90144,13.41718,11.28876,12.3213,0.0,3.33754,559.4630999999999,205.55991,1.35215,25.09827
1670,47.50046,42.41162,0.83191,14.41537,11.108030000000001,10.51052,0.0,3.58709,538.01927,173.31438,1.24787,26.96817
1680,46.65437,36.35923,0.76215,15.41357,10.877930000000001,9.00767,0.0,3.83664,507.87023,146.43232,1.14322,28.83807
1690,46.1636,31.3325,0.74599,16.41176,10.7061,7.76276,0.0,4.08618,488.15462,124.0293,1.11899,30.70797
1700,45.4092,27.16338,0.72984,17.40995,10.47242,6.73428,0.0,4.33573,458.16512,105.36722,1.09476,32.57786
1710,45.539880000000004,36.35756,0.71369,0.67065,10.28602,9.04936,0.0,0.15091,531.90735,141.43187999999998,1.07053,1.18379
1720,44.36943,48.26396,0.69753,0.67493,9.77144,12.046199999999999,0.0,0.15198,538.90505,189.1517,1.0463,1.1839
1730,45.32974,63.71908,0.68138,0.67384,9.78956,15.93515,0.0,0.15305,631.48072,252.3702,1.02207,1.17598
1740,44.55765,83.95184,0.66523,0.68883,9.37458,21.02516,0.0,0.15411,640.22129,336.45472,0.99784,1.19218
1750,45.97817,110.37446000000001,0.64908,0.70383,9.50778,27.661530000000003,0.0,0.15518,738.54939,448.15058,0.97361,1.20837
1760,49.709410000000005,124.20766,0.63292,0.71882,10.21866,31.18983,0.0,0.15625,766.99172,504.54066,0.94938,1.22457
1770,55.57056,139.57175,0.63292,0.73382,11.46211,35.07455,0.0,0.15732,879.2009,567.75776,0.94938,1.24077
1780,59.83772,156.71023000000002,0.63292,0.74881,12.307220000000001,39.41946,0.0,0.15839,909.9505,638.67823,0.94938,1.25697
