Year,Air - Americas,Air - Africa and Middle East,Air - Asia and Oceania,Air - Europe and Former USSR,LW - Americas,LW - Africa and Middle East,LW - Asia and Oceania,LW - Europe and Former USSR
2000,411.8216988356153,365.2584298551535,915.4277079605256,270.2093004257482,2005.2876322574973,1083.619891996781,2612.605753884904,1410.6400815628267
2010,372.9303657,383.1881068,1281.088026,172.2426618,1876.795427,887.3691054,3542.631114,1024.652223
2020,349.47403978,379.3950708,1232.15454157,125.92581751,1753.1582801999998,1054.058401,3475.8846098,910.4338265
2030,346.14496452000003,428.6959616,1214.35494762,112.04336866,1720.2303988,1293.26731,3331.8202478,884.8911694
2040,305.12711595,467.6078849,1202.5678726899998,117.13087273,1548.7804314,1479.542771,3338.7781784,824.8162769
2050,267.2117386,527.8731199,1174.36278422,140.89889913000002,1411.5701244,1514.270055,3357.2184663,821.6469927
2060,230.02349786,658.8247128,1141.80685773,158.97266845,1326.3013347,1916.536532,3524.3320729,867.900301
2070,182.66091675,743.4849151,1044.62893712,157.32851405,1310.8922956,2615.90098,3830.373859,949.2904885
2080,122.56695087,743.8009923,843.5364336,129.80194058,1267.1953966,3488.550221,4064.6564527,979.7445966
2090,96.13129943,628.3568975,611.33238763,89.62976001,1259.9312007,4308.777601,4177.904498,956.1109431
2100,69.86175252000001,422.8745047,367.22976795000005,54.35598843,1281.6146972,4981.091702,4100.6618448,928.9167034
2110,54.78472115,331.6129497,287.977036191,42.62529298,1005.0263739,3906.110427,3215.6882351,728.444975
2120,50.87152678,307.9263104,267.407247927,39.58062919,933.2387758,3627.102539,2985.9962189000003,676.4131911
2130,46.95833241,284.2396711,246.837459564,36.53596541,861.4511776,3348.094652,2756.3042016,624.3814072
2140,43.04513804,260.5530319,226.2676713,33.491301629999995,789.6635795,3069.086764,2526.6121854000003,572.3496233000001
2150,39.13194368,236.8663926,205.697883036,30.44663784,717.8759814,2790.078876,2296.9201682000003,520.3178393000001
2160,35.21874931,213.1797534,185.128094673,27.40197406,646.0883832,2511.070989,2067.228151,468.2860554
2170,31.30555494,189.4931141,164.55830640899998,24.357310278,574.3007851,2232.063101,1837.5361348,416.2542714
2180,27.39236057,165.8064748,143.988518145,21.312646491,502.5131869000001,1953.055213,1607.84411755,364.2224875
2190,23.47916621,142.1198356,123.418729782,18.267982704,430.7255889000001,1674.047326,1378.15210132,312.19070350000004
2200,19.565971841,118.4331963,102.848941498,15.223318921,358.9379907,1395.039438,1148.4600841,260.1589196
2210,15.652777472,94.74655705,82.279153205,12.178655137,287.1503925,1116.031551,918.76806728,208.1271358
2220,11.739583104,71.05991778,61.709364901,9.133991353,215.36279438,837.0236629,689.07605046,156.09535179
2230,7.826388736,47.37327852,41.139576597,6.089327569,143.57519627,558.0157753,459.38403364,104.06356786
2240,3.913194368,23.68663926,20.569788304,3.044663784,71.78759814,279.0078876,229.69201682,52.03178393
2250,1.737e-14,1.05e-13,9.131e-14,1.352e-14,3.19e-13,1.24e-12,1.0199e-12,2.3100000000000013e-13
2260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
