Year,Air - Other Metals Production,Air - Gold and Silver Production,Air - Fossil-Fuel Combustion,Air - Mercury Production and Use,LW - Other Metals Production,LW - Gold and Silver Production,LW - Fossil-Fuel Combustion,LW - Mercury Production and Use
2000.0,182.5078527492072,666.3643442894436,447.8583882955475,665.9865517428442,1046.320288300793,2867.6786525299617,297.32005539825707,2900.834363472998
2010.0,229.39,813.91,704.58,461.5691604,1489.914997,3056.215177,549.271345,2236.046351
2020.0,277.8209789,801.4329432,664.2048685,343.4906784,2054.630508,2880.420494,644.3584448,1614.12567
2030.0,260.2167839,800.3801808,757.593152,283.0491263,2033.251184,2973.01437,878.0893402,1345.854234
2040.0,231.1336685,649.367726,943.3975762,268.5347753,1955.210095,2459.637892,1330.499446,1446.570225
2050.0,205.0624945,498.4259467,1208.008687,198.8494134,2028.211518,1900.25801,2148.45042,1027.78569
2060.0,173.5176447,353.877726,1523.448333,138.784033,2029.799147,1432.426231,3531.094195,641.7506667
2070.0,136.0959154,220.0423882,1672.566768,99.39821091,2001.441982,1150.448278,5135.285398,419.2819657
2080.0,94.89508101,86.66275613,1583.081397,75.0670827,1974.76952,868.1751863,6663.564146,293.6378131
2090.0,54.12938348,50.37741836,1265.735231,55.20831264,1934.506407,774.2331323,7793.133801,200.8508994
2100.0,15.7501936,14.31993343,843.6742018,40.57768472,1855.310718,680.1443117,8612.096302,144.7336182
2110.0,12.35110677,11.22951445,661.5988609,31.82051784,1454.911688,533.3607462,6753.499266,113.4983109
2120.0,11.46888486,10.42740628,614.3417995,29.54762371,1350.989425,495.2635501,6271.106461,105.3912887
2130.0,10.58666295,9.625298104,567.084738,27.27472958,1247.067161,457.1663539,5788.713656,97.28426652
2140.0,9.704441036,8.823189929,519.8276765,25.00183545,1143.144898,419.0691577,5306.320852,89.17724431
2150.0,8.822219122,8.021081752,472.5706149,22.72894131,1039.222634,380.9719616,4823.928047,81.0702221
2160.0,7.93999721,7.218973577,425.3135534,20.45604718,935.3003711,342.8747654,4341.535243,72.96319989
2170.0,7.057775298,6.416865402,378.0564919,18.18315305,831.3781075,304.7775692,3859.142438,64.85617768
2180.0,6.175553386,5.614757227,330.7994305,15.91025892,727.4558442,266.6803731,3376.749633,56.74915547
2190.0,5.293331474,4.812649052,283.542369,13.63736479,623.5335806,228.5831769,2894.356828,48.64213326
2200.0,4.411109562,4.010540877,236.2853075,11.36447066,519.6113173,190.4859808,2411.964024,40.53511105
2210.0,3.52888765,3.208432702,189.028246,9.091576527,415.6890538,152.3887846,1929.571219,32.42808884
2220.0,2.646665736,2.406324525,141.7711844,6.818682392,311.7667904,114.2915885,1447.178414,24.32106664
2230.0,1.764443824,1.60421635,94.51412296,4.545788261,207.8445269,76.19439231,964.7856094,16.21404442
2240.0,0.882221912,0.802108175,47.25706149,2.272894131,103.9222634,38.09719616,482.3928047,8.10702221
2250.0,3.91032e-15,3.55523e-15,2.0946e-13,1.00743e-14,4.6168e-13,1.69249e-13,2.14306e-12,3.60159e-14
2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
