Year,Air - Americas - Other Metals Production,Air - Americas - Gold and Silver Production,Air - Americas - Fossil-Fuel Combustion,Air - Americas - Mercury Production and Use,Air - Africa and Middle East - Other Metals Production,Air - Africa and Middle East - Gold and Silver Production,Air - Africa and Middle East - Fossil-Fuel Combustion,Air - Africa and Middle East - Mercury Production and Use,Air - Asia and Oceania - Other Metals Production,Air - Asia and Oceania - Gold and Silver Production,Air - Asia and Oceania - Fossil-Fuel Combustion,Air - Asia and Oceania - Mercury Production and Use,Air - Europe and Former USSR - Other Metals Production,Air - Europe and Former USSR - Gold and Silver Production,Air - Europe and Former USSR - Fossil-Fuel Combustion,Air - Europe and Former USSR - Mercury Production and Use,LW - Americas - Other Metals Production,LW - Americas - Gold and Silver Production,LW - Americas - Fossil-Fuel Combustion,LW - Americas - Mercury Production and Use,LW - Africa and Middle East - Other Metals Production,LW - Africa and Middle East - Gold and Silver Production,LW - Africa and Middle East - Fossil-Fuel Combustion,LW - Africa and Middle East - Mercury Production and Use,LW - Asia and Oceania - Other Metals Production,LW - Asia and Oceania - Gold and Silver Production,LW - Asia and Oceania - Fossil-Fuel Combustion,LW - Asia and Oceania - Mercury Production and Use,LW - Europe and Former USSR - Other Metals Production,LW - Europe and Former USSR - Gold and Silver Production,LW - Europe and Former USSR - Fossil-Fuel Combustion,LW - Europe and Former USSR - Mercury Production and Use
-2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509.999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1510.0,0.0,0.01043276,0.0,0.0,0.0,1.4768208,0.0,0.0,0.0055,5.1189561,0.0,0.0,0.00768,7.912502,0.0003004851991823,18.98442000000001,0.0,0.01564914,0.0,0.0,0.0,2.2152312,0.0,0.0,0.000118,7.67843415,0.0,0.0,0.000142,11.868753,4.477229467817288e-05,66.44547000000006
1520.0,0.0,0.03129828,0.0,0.0,0.0,1.4592396,0.0,0.0,0.0066578947368421,5.47980885,0.0,0.0,0.01476,10.06122911111111,0.0004039069427291,20.812418208559304,0.0,0.04694742,0.0,0.0,0.0,2.1888594,0.0,0.0,0.0001428421052631,8.219713275,0.0,0.0,0.0002471578947368,15.091843666666666,6.018213446664596e-05,72.84346372995756
1530.0,0.0124908930609698,1.7163536900000005,0.0,0.0,0.0,1.4416584,0.0,0.0,0.0078157894736842,5.8406616,0.0,0.0,0.02184,12.209956222222225,0.0005429246393124,22.8164332483147,0.0002679864329444,41.845944335,0.0,0.0,0.0,2.1624876,0.0,0.0,0.0001676842105263,8.7609924,0.0,0.0,0.0003523157894736,18.314934333333337,8.0895771257558e-05,79.85751636910145
1540.0,0.0134888431769981,5.761051042857143,0.0,0.0,0.0,1.4240772,0.0,0.0,0.0089736842105263,6.20151435,0.0,0.0,0.02892,14.358683333333335,0.0007297897926211,25.013413672453645,0.0002893969990701,132.59378656428572,0.0,0.0,0.0,2.1361158,0.0,0.0,0.0001925263157894,9.302271525,0.0,0.0,0.0004574736842105,21.538025000000005,0.0001087386791005,87.54694785358775
1550.0,0.0145665237357752,8.790434635714288,0.0,0.0,0.0,1.4064960000000002,0.0,0.0,0.0101315789473684,6.5623671,0.0,0.0,0.036,16.473648000000004,0.000980970659369,27.42194000000001,0.0003125181456039,211.88535575357145,0.0,0.0,0.0,2.109744,0.0,0.0,0.0002173684210526,9.84355065,0.0,0.0,0.0005626315789473,24.710472000000006,0.0001461646282459,95.97679000000004
1560.0,0.0157303047385658,11.55015422857143,0.0,31.669747199999996,0.0,1.3889148000000002,0.0,0.0,0.0112894736842105,6.92321985,0.0,0.0,0.04308,16.760192071428577,0.0013186035818433,27.79153059553134,0.0003374865380274,283.6772129428572,0.0,110.84411519999998,0.0,2.0833722000000003,0.0,0.0,0.0002422105263157,10.384829775,0.0,0.0,0.0006677894736842,25.140288107142865,0.0001964719336946,97.27035708435967
1570.0,0.016987065112895,14.10762582142857,0.0,33.51455136259403,0.0,1.3713336,0.0,0.0,0.0124473684210526,7.284072599999999,0.0,0.0,0.0501599999999999,17.046736142857146,0.001772443843701,28.166102501951173,0.0003644497606039,349.8442861321428,0.0,117.30092976907908,0.0,2.0570004,0.0,0.0,0.0002670526315789,10.9261089,0.0,0.0,0.000772947368421,25.57010421428572,0.0002640941327114,98.5813587568291
1580.0,0.0183442333728142,16.665097414285714,0.0,35.46681777857557,0.0,1.3537524000000003,0.0,0.0,0.0136052631578947,7.64492535,0.0,0.0,0.05724,17.319589728571437,0.0023824879761679,28.54572285694769,0.0003935671887258,416.0113593214286,0.0,124.13386222501448,0.0,2.0306286000000004,0.0,0.0,0.0002918947368421,11.467388025,0.0,0.0,0.0008781052631578,25.97938459285715,0.000354990708449,99.91002999931692
