Year,Air - Other Metals Production,Air - Gold and Silver Production,Air - Fossil-Fuel Combustion,Air - Mercury Production,Air - Mercury Use,LW - Other Metals Production,LW - Gold and Silver Production,LW - Fossil-Fuel Combustion,LW - Mercury Production,LW - Mercury Use
1510,1.355,1.355,1.355,1.355,1.355,1.355,1.355,1.355,1.355,1.355
1520,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695
1530,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867
1540,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1550,2.285,2.285,2.285,2.285,2.285,2.285,2.285,2.285,2.285,2.285
1560,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008
1570,2.108,2.108,2.108,2.108,2.108,2.108,2.108,2.108,2.108,2.108
1580,2.143,2.143,2.143,2.143,2.143,2.143,2.143,2.143,2.143,2.143
1590,2.182,2.182,2.182,2.182,2.182,2.182,2.182,2.182,2.182,2.182
1600,2.188,2.188,2.188,2.188,2.188,2.188,2.188,2.188,2.188,2.188
1610,2.145,2.145,2.145,2.145,2.145,2.145,2.145,2.145,2.145,2.145
1620,2.108,2.108,2.108,2.108,2.108,2.108,2.108,2.108,2.108,2.108
1630,2.049,2.049,2.049,2.049,2.049,2.049,2.049,2.049,2.049,2.049
1640,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958
1650,1.916,1.916,1.916,1.916,1.916,1.916,1.916,1.916,1.916,1.916
1660,1.954,1.954,1.954,1.954,1.954,1.954,1.954,1.954,1.954,1.954
1670,1.976,1.976,1.976,1.976,1.976,1.976,1.976,1.976,1.976,1.976
1680,1.966,1.966,1.966,1.966,1.966,1.966,1.966,1.966,1.966,1.966
1690,1.998,1.998,1.998,1.998,1.998,1.998,1.998,1.998,1.998,1.998
1700,2.003,2.003,2.003,2.003,2.003,2.003,2.003,2.003,2.003,2.003
1710,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039
1720,1.953,1.953,1.953,1.953,1.953,1.953,1.953,1.953,1.953,1.953
1730,2.038,2.038,2.038,2.038,2.038,2.038,2.038,2.038,2.038,2.038
1740,1.944,1.944,1.944,1.944,1.944,1.944,1.944,1.944,1.944,1.944
1750,1.959,1.959,1.959,1.959,1.959,1.959,1.959,1.959,1.959,1.959
1760,1.907,1.907,1.907,1.907,1.907,1.907,1.907,1.907,1.907,1.907
1770,1.914,1.914,1.914,1.914,1.914,1.914,1.914,1.914,1.914,1.914
1780,1.888,1.888,1.888,1.888,1.888,1.888,1.888,1.888,1.888,1.888
1790,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958,1.958
1800,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97
1810,2.037,2.037,2.037,2.037,2.037,2.037,2.037,2.037,2.037,2.037
1820,1.962,1.962,1.962,1.962,1.962,1.962,1.962,1.962,1.962,1.962
1830,1.942,1.942,1.942,1.942,1.942,1.942,1.942,1.942,1.942,1.942
1840,1.968,1.968,1.968,1.968,1.968,1.968,1.968,1.968,1.968,1.968
1850,1.671,1.671,1.671,1.671,1.671,1.671,1.671,1.671,1.671,1.671
1860,1.613,1.613,1.613,1.613,1.613,1.613,1.613,1.613,1.613,1.613
