Year,Air - Other Metals Production,Air - Gold and Silver Production,Air - Fossil-Fuel Combustion,Air - Mercury Production,Air - Mercury Use,LW - Other Metals Production,LW - Gold and Silver Production,LW - Fossil-Fuel Combustion,LW - Mercury Production,LW - Mercury Use
1510,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542
1520,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484
1530,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677
1540,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.539
1550,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
1560,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529
1570,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562
1580,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589
1590,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574
1600,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564
1610,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553
1620,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553
1630,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571
1640,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588
1650,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585
1660,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604
1670,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
1680,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574
1690,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565
1700,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606
1710,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595
1720,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586
1730,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582
1740,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
1750,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597
1760,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599
1770,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606
1780,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599
1790,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598
1800,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597
1810,0.591,0.591,0.591,0.591,0.591,0.591,0.591,0.591,0.591,0.591
1820,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579
1830,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603
1840,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596
1850,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638
1860,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654
1870,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628
1880,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629
1890,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629
1900,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662
1910,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735
1920,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819
1930,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837
1940,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822
1950,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871
1960,0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.848
1970,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
1980,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877
1990,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876
2000,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882
2010,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2020,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2030,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2040,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2050,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2060,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2070,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2080,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2090,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2100,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2110,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2120,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2130,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2140,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2150,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2160,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2170,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2180,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2190,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2200,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2210,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2220,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2230,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2240,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2250,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2260,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2270,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2280,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2290,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
2300,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873,0.873
