depth_bin,depth_min,depth_max,units,Land,Atlantic,Pacific,Indian,Arctic,Southern,Mediterranean,Coastal Atlantic,Coastal Pacific,Coastal Indian,Coastal Arctic,Coastal Southern,Coastal Mediterranean
0-100,0,100,L,5.841319153747378e+17,4.888104414118475e+18,1.2740517722428062e+19,3.307926968216919e+18,1.748031829062792e+17,6.508668643077382e+18,0.0,1.5782903904007685e+18,1.8630029657481728e+18,1.0788177890303279e+18,6.925969806353361e+17,1.2979720598248376e+18,2.2556800648824163e+17
100-200,100,200,L,3.657746363490273e+17,4.888104414118475e+18,1.2740517722428062e+19,3.304298077357366e+18,1.748031829062792e+17,6.502554361727884e+18,0.0,1.4659488941404593e+18,1.748313591845905e+18,1.0468561393199621e+18,5.7047145079737165e+17,1.238456991753043e+18,2.178981521406855e+17
200-300,200,300,L,2.7017957169917824e+17,4.885101375298471e+18,1.2740517722428062e+19,3.3018878945693036e+18,1.748031829062792e+17,6.497403565782068e+18,0.0,1.378345333414393e+18,1.6782916359732383e+18,1.0214027093856544e+18,4.405408229500615e+17,1.2034356653161203e+18,2.030978407642633e+17
300-400,300,400,L,2.0577101750144093e+17,4.885101375298471e+18,1.273933705086635e+19,3.300700905921489e+18,1.748031829062792e+17,6.490333792290776e+18,0.0,1.3230340494559982e+18,1.6321577627734915e+18,9.988817178050734e+17,3.7888711265497414e+17,1.1411378712975729e+18,1.9233369281699338e+17
400-500,400,500,L,1.559398052970683e+17,4.883321571689759e+18,1.2738099129484718e+19,3.300700905921489e+18,1.748031829062792e+17,6.486729258256727e+18,0.0,1.277640857349447e+18,1.5964020072020618e+18,9.810298851968049e+17,3.504329539756915e+17,1.0639064696146117e+18,1.8436651001888314e+17
500-600,500,600,L,1.3218931451735861e+17,4.883321571689759e+18,1.2736871751957338e+19,3.299466753645604e+18,1.748031829062792e+17,6.48215337145258e+18,0.0,1.2350823530137884e+18,1.559757500047306e+18,9.62138871546078e+17,3.2668138015028717e+17,9.832155150867602e+17,1.7232343559462906e+17
600-700,600,700,L,1.0878406989989738e+17,4.882638291077095e+18,1.2728992545779218e+19,3.2970044738080486e+18,1.748031829062792e+17,6.474446863981658e+18,0.0,1.20330353864269e+18,1.5181532680254582e+18,9.410714795905559e+17,3.147411611712974e+17,9.300353566008799e+17,1.6646420027332608e+17
700-800,700,800,L,9.35392285386961e+16,4.881991454302399e+18,1.272667481717038e+19,3.295783483281932e+18,1.7470605301568557e+17,6.473626561221458e+18,0.0,1.1666460158074458e+18,1.4874025086000768e+18,9.261985069525071e+17,3.0355736248777376e+17,9.030018349152151e+17,1.5964683026644768e+17
800-900,800,900,L,7.52812241405866e+16,4.878237908756202e+18,1.2719679159220697e+19,3.292085543985533e+18,1.7460892312509194e+17,6.469626314696075e+18,0.0,1.1372297698769985e+18,1.4522933962221304e+18,9.152999595245588e+17,2.9199252559875603e+17,8.75034351703821e+17,1.536481697873988e+17
900-1000,900,1000,L,5.487800133731672e+16,4.876925911980737e+18,1.2712779304192279e+19,3.288645170499716e+18,1.7422279522297946e+17,6.467166405828031e+18,0.0,1.1220733753451442e+18,1.414173458083484e+18,8.904436912575834e+17,2.8403396701436298e+17,8.521605034131159e+17,1.4766435911482326e+17
1000-1100,1000,1100,L,4.745570543449717e+16,4.871416248412128e+18,1.2699244529336238e+19,3.287411018223831e+18,1.7316780421558112e+17,6.463427899658615e+18,0.0,1.0927210991124166e+18,1.37766654476531e+18,8.708476504187258e+17,2.7605498398518454e+17,8.333836124694056e+17,1.4189649914750995e+17
1100-1200,1100,1200,L,3.8497545059343464e+16,4.867330862960368e+18,1.26837094321075e+19,3.283720226285452e+18,1.7102360310080214e+17,6.458623856432966e+18,0.0,1.059819728119747e+18,1.347372937341055e+18,8.483796336643757e+17,2.6668411336399216e+17,8.141062964542788e+17,1.347959873403177e+17
1200-1300,1200,1300,L,3.3923435887056016e+16,4.861870538501535e+18,1.266593030285649e+19,3.281489145577954e+18,1.69006678478254e+17,6.450305331971504e+18,0.0,1.0305127698776663e+18,1.2997389989353574e+18,8.328019109588861e+17,2.5791806796970157e+17,7.987739900516442e+17,1.2981662586677824e+17
1300-1400,1300,1400,L,2.9629647486327276e+16,4.854159024561104e+18,1.2645763773690753e+19,3.2742668611001416e+18,1.669336917352981e+17,6.442006337381386e+18,0.0,9.979397479773144e+17,1.269022909645501e+18,8.067526635735094e+17,2.516586120299337e+17,7.819687753322209e+17,1.2098753650326598e+17
1400-1500,1400,1500,L,2.748147335523954e+16,4.848487650158054e+18,1.2613193822985284e+19,3.270809782826362e+18,1.6485151193000768e+17,6.434630775293623e+18,0.0,9.665792633281421e+17,1.2437780365581504e+18,7.937326324261885e+17,2.4180546350163974e+17,7.651730757817242e+17,1.182210036144094e+17
1500-1600,1500,1600,L,2.5331956974034524e+16,4.838414596639781e+18,1.2569871284145428e+19,3.2662074968213637e+18,1.6260456497320832e+17,6.422334739947528e+18,0.0,9.346402533967592e+17,1.2065337300480886e+18,7.761798118806966e+17,2.3229261590828077e+17,7.521819479167506e+17,1.1010395524681203e+17
1600-1700,1600,1700,L,2.102884875548016e+16,4.82997788900447e+18,1.254287787021661e+19,3.2592265014626934e+18,1.5860877348007334e+17,6.405920262181126e+18,0.0,9.126986456834111e+17,1.1629678537280038e+18,7.51657722862207e+17,2.226293297683271e+17,7.39781520530462e+17,1.0713866243908312e+17
1700-1800,1700,1800,L,1.8066304326620924e+16,4.812930394810511e+18,1.2499979350656444e+19,3.2480814911700603e+18,1.5660746814253658e+17,6.396214421260377e+18,0.0,8.894175658188265e+17,1.1303750731719368e+18,7.326238412062162e+17,2.1285016068924182e+17,7.267580458701155e+17,9.819563920159406e+16
1800-1900,1800,1900,L,1.6240852060132088e+16,4.803628894258166e+18,1.2470935612843725e+19,3.239702858602919e+18,1.537254910900259e+17,6.386187946515926e+18,0.0,8.536387436679757e+17,1.0859570167779548e+18,7.137686179528323e+17,2.0231006776230762e+17,7.084368740208956e+17,9.420901983616595e+16
1900-2000,1900,2000,L,1.2023871300790988e+16,4.790294828159961e+18,1.2436464217770226e+19,3.2331827140371246e+18,1.5005953732740086e+17,6.3726917418202e+18,0.0,8.254813890071622e+17,1.0522555474825138e+18,6.96390213750733e+17,1.9420042718465955e+17,6.935563393337028e+17,9.116130367390858e+16
2000-2100,2000,2100,L,8387702264761857.0,4.780358740160871e+18,1.2398718156767674e+19,3.2207612735265044e+18,1.4662484652981597e+17,6.347084590033734e+18,0.0,8.039945603481857e+17,1.0207052206575077e+18,6.658532058294733e+17,1.8683267604262387e+17,6.814451594469294e+17,8.81534900561789e+16
2100-2200,2100,2200,L,1159570683549239.2,4.760787007739884e+18,1.2335549947470694e+19,3.2045930068874214e+18,1.4078158415161853e+17,6.326209172747354e+18,0.0,7.762247350222605e+17,9.985062099235235e+17,6.389192944810506e+17,1.7712127995877216e+17,6.664498429724685e+17,8.533492390353054e+16
2200-2300,2200,2300,L,1159570683549239.2,4.739561008906147e+18,1.2297225580646803e+19,3.1906127515322783e+18,1.359590822289003e+17,6.288157966281166e+18,0.0,7.444850198177658e+17,9.571159523936571e+17,6.131293463123228e+17,1.7037094780203773e+17,6.51902303970048e+17,8.02618901298666e+16
2300-2400,2300,2400,L,1159570683549239.2,4.727709783081313e+18,1.2248794621543746e+19,3.170010347658522e+18,1.3199643252948478e+17,6.265218407167694e+18,0.0,7.179652482048795e+17,9.311074150654212e+17,5.826570852280175e+17,1.6389120830178752e+17,6.3729860648564e+17,7.334512069701032e+16
2400-2500,2400,2500,L,1159570683549239.2,4.695548816159337e+18,1.2175044765156114e+19,3.15075030179269e+18,1.2805376828032987e+17,6.235490859811971e+18,0.0,6.87600082069301e+17,8.984907034365414e+17,5.578143267943278e+17,1.571910051939743e+17,6.243301633303183e+17,6.446335210321522e+16
2500-2600,2500,2600,L,0.0,4.669008290131002e+18,1.2112355382480783e+19,3.128599515481481e+18,1.2337905684477054e+17,6.185461481819479e+18,0.0,6.647149810805202e+17,8.756619911206911e+17,5.343246909374968e+17,1.4923418609276445e+17,6.113415799866618e+17,5.860450658855646e+16
2600-2700,2600,2700,L,0.0,4.630771561223626e+18,1.2033076849706598e+19,3.1033191243054766e+18,1.1815864820855485e+17,6.114684910333711e+18,0.0,6.336130941322806e+17,8.566448341959092e+17,5.1100535203465024e+17,1.4021783190724619e+17,5.970399479346956e+17,4.665057994631458e+16
2700-2800,2700,2800,L,0.0,4.5902936922621445e+18,1.1950585800387793e+19,3.0715469661788954e+18,1.0801773781606165e+17,6.029430989640495e+18,0.0,6.125438122167788e+17,8.331203419123946e+17,4.884932650561257e+17,1.302479672184606e+17,5.80264560495163e+17,3.389668376776364e+16
2800-2900,2800,2900,L,0.0,4.5515562680861563e+18,1.1828145065701499e+19,3.0436492616520837e+18,1.027092478811246e+17,5.929772464004606e+18,0.0,5.819571800715414e+17,7.960699721268584e+17,4.677044987684526e+17,1.2315942325706547e+17,5.6415864260272614e+17,2.5998401857690532e+16
2900-3000,2900,3000,L,0.0,4.486651388343266e+18,1.1678962538458212e+19,3.001849895191235e+18,9.893880126519158e+16,5.819427135714006e+18,0.0,5.5508577614734835e+17,7.659694166852613e+17,4.535814389629023e+17,1.1636084802227184e+17,5.491495814029444e+17,1.9985206030610644e+16
3000-3100,3000,3100,L,0.0,4.421809191717349e+18,1.1495371296069014e+19,2.9393079636205455e+18,9.409028824224848e+16,5.698872153743632e+18,0.0,5.2901673833055866e+17,7.234839678955178e+17,4.22634588453882e+17,1.091506468541945e+17,5.302365510435873e+17,1.7982207159729688e+16
3100-3200,3100,3200,L,0.0,4.335458289681011e+18,1.1300808777595875e+19,2.8652496518854303e+18,8.878790492987411e+16,5.533189629691974e+18,0.0,4.853263338007483e+17,6.857287080401078e+17,4.043002600341448e+17,1.028698625618946e+17,5.126108354313117e+17,1.3979869285919828e+16
3200-3300,3200,3300,L,0.0,4.234411891492116e+18,1.1059381641493873e+19,2.7909346131152614e+18,8.435992221944304e+16,5.385928497233572e+18,0.0,4.434523019214663e+17,6.462110933140175e+17,3.6802169534520704e+17,9.286110557229792e+16,4.8827106601471795e+17,1.103462649930309e+16
3300-3400,3300,3400,L,0.0,4.1447999306133253e+18,1.0760255374176993e+19,2.7166075333760507e+18,7.827383203224784e+16,5.231835047699617e+18,0.0,4.128494331325784e+17,6.079994441093678e+17,3.434918311042469e+17,8.47971327304676e+16,4.6745040730191226e+17,8062181063493824.0
3400-3500,3400,3500,L,0.0,4.0332507079443594e+18,1.0450339630316607e+19,2.635192503993439e+18,7.438282118730387e+16,5.049075815257125e+18,0.0,3.78937234670159e+17,5.641930523492503e+17,3.223768770656005e+17,7.551955572027442e+16,4.455176791044916e+17,5026240019519797.0
3500-3600,3500,3600,L,0.0,3.912520297328923e+18,1.0099105800851245e+19,2.5456592901804595e+18,6.688207337920589e+16,4.848553360141829e+18,0.0,3.468140103146035e+17,5.2855395121675725e+17,3.009175957551935e+17,6.2201803243740216e+16,4.136005024576137e+17,3010848253989026.0
3600-3700,3600,3700,L,0.0,3.794538110326391e+18,9.713900536799052e+18,2.4602873737712553e+18,5.845864855439083e+16,4.64355035825937e+18,0.0,3.2156441606508166e+17,4.8282835707909555e+17,2.7222600810729456e+17,4.828288404264456e+16,3.8238338687209574e+17,3010848253989026.0
3700-3800,3700,3800,L,0.0,3.6291119163801564e+18,9.31112400175939e+18,2.3365264054349757e+18,3.736341241069059e+16,4.436643890610715e+18,0.0,2.9132440103580134e+17,4.464110173408985e+17,2.5549064285427296e+17,3.8709932690237544e+16,3.4810848289180134e+17,2002998870880955.5
3800-3900,3800,3900,L,0.0,3.5069223286632e+18,8.893991364611316e+18,2.2394389419417876e+18,1.8748382558782876e+16,4.204798474115135e+18,0.0,2.581040699172837e+17,4.125216649696345e+17,2.400906789358334e+17,2.62641201742264e+16,3.189730786312005e+17,1007849383108070.2
3900-4000,3900,4000,L,0.0,3.362006631082056e+18,8.43056493322049e+18,2.1205963268774817e+18,1.2792885870976564e+16,3.970055758706375e+18,0.0,2.3602853867816938e+17,3.853929959797474e+17,2.224201638330385e+17,1.909254443118148e+16,2.802945345842309e+17,0.0
4000-4100,4000,4100,L,0.0,3.1788826095906186e+18,8.022619513059845e+18,1.983425877155938e+18,1.0656912257818296e+16,3.675455740576318e+18,0.0,2.0911400834113168e+17,3.5215714855328237e+17,2.0562472352298592e+17,1.5177683635991314e+16,2.3712916306893824e+17,0.0
4100-4200,4100,4200,L,0.0,3.0129778938233795e+18,7.56338672304058e+18,1.8563568895291648e+18,7937833966460214.0,3.4051593833846047e+18,0.0,1.7803107937642048e+17,3.170135481875634e+17,1.9383908651282163e+17,1.2716759578288944e+16,2.0196388305685754e+17,0.0
