basin,volume [L],conc_p50 [pM],mass_p50 [Gg],Depths
Arctic,2.5921433411676544e+18,"0.66 [0.43, 1.3]","0.34 [0.22, 0.69]",0 - 1500m
Coastal Arctic,5.248056958286364e+18,"0.77 [0.4, 2.8]","0.81 [0.42, 2.9]",0 - 1500m
Atlantic,7.313611261292303e+19,"0.75 [0.39, 1.3]","11 [5.8, 19]",0 - 1500m
Coastal Atlantic,1.8035167185862418e+19,"0.71 [0.35, 1.6]","2.6 [1.3, 5.8]",0 - 1500m
Indian,4.938619721122114e+19,"1 [0.97, 1.2]","10 [9.6, 12]",0 - 1500m
Coastal Indian,1.391465524065079e+19,"1.2 [1.2, 1.2]","3.3 [3.3, 3.3]",0 - 1500m
Pacific,1.9063182878693143e+20,"0.71 [0.44, 1.3]","27 [17, 49]",0 - 1500m
Coastal Pacific,2.24875275217667e+19,"1.1 [0.8, 1.8]","4.8 [3.6, 8.1]",0 - 1500m
Southern,9.710170333905273e+19,"1.4 [0.81, 2]","27 [16, 39]",0 - 1500m
Coastal Southern,1.4481762369615251e+19,"1.7 [1.4, 2.5]","4.9 [4, 7.3]",0 - 1500m
Coastal Mediterranean,2.468728849737973e+18,"1 [0.66, 1.8]","0.5 [0.33, 0.9]",0 - 1500m
Land,2.2234565918777715e+18,"2.1 [0.95, 4]","0.92 [0.42, 1.8]",0 - 1500m
Global,4.9170734000909333e+20,"0.94 [0.61, 1.5]","93 [60, 1.5e+02]",0 - 1500m
