basin,volume [L],conc_p50 [pM],mass_p50 [Gg],Depths
Arctic,2.653604442264209e+18,"0.72 [0.44, 1.5]","0.39 [0.24, 0.8]",>1500m
Coastal Arctic,3.271801803411339e+18,"0.62 [0.41, 0.77]","0.41 [0.27, 0.51]",>1500m
Atlantic,1.3713799462318611e+20,"0.92 [0.64, 1.3]","25 [18, 34]",>1500m
Coastal Atlantic,1.5995875192263623e+19,"0.82 [0.61, 1.3]","2.6 [2, 4.2]",>1500m
Indian,8.861982301032668e+19,"nan [nan, nan]","nan [nan, nan]",>1500m
Coastal Indian,1.3857305161214484e+19,"nan [nan, nan]","nan [nan, nan]",>1500m
Pacific,3.6028401406642835e+20,"1.1 [0.79, 1.5]","78 [57, 1.1e+02]",>1500m
Coastal Pacific,2.2966624505563746e+19,"1 [1, 1.1]","4.8 [4.7, 4.9]",>1500m
Southern,1.6799614278816783e+20,"1.5 [1, 2]","52 [35, 69]",>1500m
Coastal Southern,1.51562051123552e+19,"1.5 [1.5, 1.5]","4.4 [4.4, 4.4]",>1500m
Coastal Mediterranean,1.1426204042682345e+18,"0.98 [0.72, 1.4]","0.23 [0.16, 0.31]",>1500m
Land,1.057178184160175e+17,"3.1 [1.9, 4.8]","0.065 [0.04, 0.1]",>1500m
Global,8.29187728927866e+20,"1.2 [0.83, 1.6]","1.9e+02 [1.4e+02, 2.6e+02]",>1500m
